"","Subject","IQquartile","Income2005"
"823",2018,"3rdQuartile",27640
"824",2020,"1stQuartile",26000
"825",2024,"4thQuartile",65000
"826",2027,"4thQuartile",9000
"827",2029,"4thQuartile",135000
"828",2030,"3rdQuartile",5500
"829",2031,"1stQuartile",36000
"830",2032,"1stQuartile",32000
"831",2033,"3rdQuartile",157117
"832",2034,"3rdQuartile",52000
"833",2035,"3rdQuartile",25000
"834",2037,"4thQuartile",2700
"835",2038,"4thQuartile",162919
"836",2040,"4thQuartile",14969
"837",2041,"3rdQuartile",20000
"838",2042,"4thQuartile",6000
"839",2045,"2ndQuartile",30000
"840",2046,"1stQuartile",24000
"841",2047,"3rdQuartile",55000
"842",2049,"4thQuartile",33000
"843",2051,"1stQuartile",20000
"844",2055,"3rdQuartile",30000
"845",2056,"3rdQuartile",135000
"846",2057,"1stQuartile",9000
"847",2061,"4thQuartile",50000
"848",2062,"2ndQuartile",110000
"849",2066,"1stQuartile",29000
"850",2067,"2ndQuartile",60000
"851",2068,"2ndQuartile",35000
"852",2070,"1stQuartile",60000
"853",2071,"4thQuartile",1000
"854",2072,"4thQuartile",4000
"855",2073,"4thQuartile",22000
"856",2074,"3rdQuartile",58000
"857",2075,"3rdQuartile",66000
"858",2076,"1stQuartile",39144
"859",2079,"2ndQuartile",28000
"860",2080,"3rdQuartile",17000
"861",2081,"2ndQuartile",46000
"862",2083,"4thQuartile",26000
"863",2086,"2ndQuartile",27000
"864",2087,"2ndQuartile",40000
"865",2088,"2ndQuartile",30000
"866",2089,"1stQuartile",40000
"867",2090,"1stQuartile",37000
"868",2093,"3rdQuartile",48000
"869",2094,"1stQuartile",29000
"870",2096,"2ndQuartile",92000
"871",2097,"2ndQuartile",71000
"872",2099,"2ndQuartile",62000
"873",2100,"4thQuartile",52000
"874",2101,"4thQuartile",90000
"875",2102,"2ndQuartile",24000
"876",2104,"3rdQuartile",34500
"877",2106,"2ndQuartile",52000
"878",2107,"3rdQuartile",5100
"879",2113,"4thQuartile",100000
"880",2119,"3rdQuartile",9000
"881",2120,"2ndQuartile",4000
"882",2122,"1stQuartile",26000
"883",2123,"3rdQuartile",33600
"884",2124,"4thQuartile",115000
"885",2126,"3rdQuartile",42000
"886",2132,"2ndQuartile",104000
"887",2133,"2ndQuartile",39400
"888",2134,"1stQuartile",10000
"889",2135,"1stQuartile",70000
"890",2136,"2ndQuartile",34500
"891",2138,"3rdQuartile",36000
"892",2140,"2ndQuartile",55000
"893",2144,"4thQuartile",57000
"894",2145,"3rdQuartile",50000
"895",2146,"2ndQuartile",14000
"896",2147,"3rdQuartile",34000
"897",2148,"3rdQuartile",16557
"898",2152,"2ndQuartile",28000
"899",2153,"2ndQuartile",12000
"900",2156,"2ndQuartile",40500
"901",2157,"2ndQuartile",24000
"902",2158,"3rdQuartile",3600
"903",2159,"3rdQuartile",70000
"904",2163,"1stQuartile",60000
"905",2164,"3rdQuartile",69000
"906",2165,"1stQuartile",12000
"907",2167,"1stQuartile",48000
"908",2168,"4thQuartile",57600
"909",2169,"3rdQuartile",57000
"910",2172,"2ndQuartile",63000
"911",2173,"3rdQuartile",52000
"912",2178,"3rdQuartile",44000
"913",2180,"2ndQuartile",40000
"914",2182,"3rdQuartile",65000
"915",2187,"2ndQuartile",90000
"916",2188,"1stQuartile",36000
"917",2190,"1stQuartile",18000
"918",2194,"1stQuartile",30000
"919",2196,"2ndQuartile",5280
"920",2200,"4thQuartile",65000
"921",2201,"2ndQuartile",32000
"922",2202,"4thQuartile",35000
"923",2203,"1stQuartile",22500
"924",2204,"3rdQuartile",26074
"925",2205,"2ndQuartile",52000
"926",2207,"3rdQuartile",30000
"927",2208,"1stQuartile",25000
"928",2209,"1stQuartile",36000
"929",2214,"2ndQuartile",11000
"930",2216,"2ndQuartile",43000
"931",2218,"3rdQuartile",70000
"932",2220,"4thQuartile",82000
"933",2222,"4thQuartile",46000
"934",2223,"2ndQuartile",55000
"935",2224,"1stQuartile",5000
"936",2225,"1stQuartile",56000
"937",2227,"2ndQuartile",28263
"938",2229,"3rdQuartile",33000
"939",2230,"4thQuartile",40000
"940",2237,"4thQuartile",64000
"941",2243,"3rdQuartile",30000
"942",2247,"3rdQuartile",58000
"943",2250,"1stQuartile",20000
"944",2251,"1stQuartile",7225
"945",2254,"1stQuartile",30000
"946",2255,"1stQuartile",45000
"947",2261,"1stQuartile",32000
"948",2264,"2ndQuartile",13000
"949",2265,"1stQuartile",15000
"950",2266,"1stQuartile",15000
"951",2270,"1stQuartile",15000
"952",2271,"1stQuartile",13000
"953",2278,"3rdQuartile",49000
"954",2284,"4thQuartile",50000
"955",2285,"3rdQuartile",55000
"956",2286,"4thQuartile",26000
"957",2291,"4thQuartile",60200
"958",2299,"4thQuartile",47000
"959",2301,"4thQuartile",71500
"960",2302,"4thQuartile",112000
"961",2304,"2ndQuartile",50000
"962",2313,"2ndQuartile",25000
"963",2314,"3rdQuartile",50000
"964",2316,"1stQuartile",30000
"965",2318,"3rdQuartile",43000
"966",2322,"3rdQuartile",46000
"967",2323,"2ndQuartile",100000
"968",2324,"3rdQuartile",102000
"969",2326,"1stQuartile",44000
"970",2327,"3rdQuartile",26000
"971",2328,"4thQuartile",31000
"972",2329,"3rdQuartile",40000
"973",2332,"3rdQuartile",26524
"974",2333,"2ndQuartile",85000
"975",2334,"1stQuartile",37500
"976",2337,"3rdQuartile",35650
"977",2339,"4thQuartile",235236
"978",2341,"4thQuartile",68000
"979",2344,"1stQuartile",44000
"980",2348,"1stQuartile",14560
"981",2360,"2ndQuartile",18500
"982",2361,"1stQuartile",99000
"983",2372,"4thQuartile",65000
"984",2375,"2ndQuartile",80000
"985",2376,"3rdQuartile",60000
"986",2380,"3rdQuartile",22000
"987",2382,"2ndQuartile",40000
"988",2383,"2ndQuartile",8500
"989",2385,"3rdQuartile",62000
"990",2386,"3rdQuartile",68000
"991",2394,"3rdQuartile",60000
"992",2396,"1stQuartile",13986
"993",2398,"1stQuartile",32000
"994",2400,"4thQuartile",24024
"995",2401,"1stQuartile",48000
"996",2403,"1stQuartile",18000
"997",2404,"2ndQuartile",28800
"998",2410,"2ndQuartile",13000
"999",2412,"2ndQuartile",15000
"1000",2413,"1stQuartile",40000
"1001",2415,"4thQuartile",55000
"1002",2417,"1stQuartile",42500
"1003",2418,"2ndQuartile",35000
"1004",2419,"1stQuartile",55000
"1005",2420,"2ndQuartile",7500
"1006",2425,"1stQuartile",35000
"1007",2426,"2ndQuartile",8200
"1008",2427,"2ndQuartile",75000
"1009",2434,"3rdQuartile",20000
"1010",2435,"4thQuartile",35000
"1011",2436,"2ndQuartile",78000
"1012",2437,"4thQuartile",125000
"1013",2438,"4thQuartile",90000
"1014",2439,"3rdQuartile",32000
"1015",2442,"2ndQuartile",79000
"1016",2443,"2ndQuartile",36000
"1017",2444,"2ndQuartile",50000
"1018",2447,"2ndQuartile",37770
"1019",2450,"2ndQuartile",14750
"1020",2451,"3rdQuartile",23100
"1021",2452,"2ndQuartile",30000
"1022",2459,"1stQuartile",4560
"1023",2460,"2ndQuartile",10875
"1024",2461,"3rdQuartile",61000
"1025",2462,"2ndQuartile",18420
"1026",2464,"4thQuartile",185950
"1027",2466,"1stQuartile",22000
"1028",2470,"3rdQuartile",46500
"1029",2471,"2ndQuartile",20000
"1030",2473,"4thQuartile",42000
"1031",2474,"4thQuartile",10574
"1032",2475,"3rdQuartile",56000
"1033",2477,"3rdQuartile",33000
"1034",2478,"2ndQuartile",20376
"1035",2479,"3rdQuartile",25000
"1036",2483,"1stQuartile",29000
"1037",2485,"1stQuartile",18000
"1038",2489,"3rdQuartile",30000
"1039",2494,"4thQuartile",72000
"1040",2523,"4thQuartile",48000
"1041",2526,"3rdQuartile",80000
"1042",2527,"1stQuartile",60000
"1043",2528,"1stQuartile",6000
"1044",2529,"1stQuartile",5000
"1045",2530,"1stQuartile",27000
"1046",2535,"1stQuartile",41000
"1047",2537,"2ndQuartile",13100
"1048",2539,"1stQuartile",38000
"1049",2540,"1stQuartile",25000
"1050",2541,"4thQuartile",70000
"1051",2542,"3rdQuartile",12800
"1052",2544,"2ndQuartile",98000
"1053",2545,"3rdQuartile",103000
"1054",2547,"2ndQuartile",52000
"1055",2549,"4thQuartile",38000
"1056",2550,"3rdQuartile",36660
"1057",2551,"4thQuartile",39500
"1058",2552,"4thQuartile",33500
"1059",2553,"3rdQuartile",39800
"1060",2556,"3rdQuartile",19000
"1061",2557,"4thQuartile",96000
"1062",2558,"3rdQuartile",61000
"1063",2559,"3rdQuartile",49000
"1064",2564,"1stQuartile",16000
"1065",2565,"4thQuartile",44000
"1066",2566,"3rdQuartile",32000
"1067",2568,"3rdQuartile",25000
"1068",2569,"4thQuartile",24000
"1069",2570,"3rdQuartile",15300
"1070",2572,"3rdQuartile",70500
"1071",2574,"2ndQuartile",32000
"1072",2578,"1stQuartile",22000
"1073",2579,"4thQuartile",26350
"1074",2582,"1stQuartile",34000
"1075",2584,"1stQuartile",44000
"1076",2585,"2ndQuartile",56000
"1077",2587,"1stQuartile",25500
"1078",2588,"4thQuartile",70000
"1079",2589,"4thQuartile",125000
"1080",2590,"4thQuartile",60000
"1081",2591,"3rdQuartile",34000
"1082",2592,"2ndQuartile",22800
"1083",2594,"2ndQuartile",62000
"1084",2602,"3rdQuartile",37000
"1085",2603,"4thQuartile",41000
"1086",2606,"4thQuartile",51000
"1087",2607,"4thQuartile",35000
"1088",2610,"4thQuartile",25000
"1089",2613,"3rdQuartile",40000
"1090",2614,"1stQuartile",50000
"1091",2615,"3rdQuartile",17000
"1092",2616,"2ndQuartile",95000
"1093",2620,"3rdQuartile",59500
"1094",2622,"4thQuartile",33000
"1095",2626,"3rdQuartile",38000
"1096",2628,"3rdQuartile",8000
"1097",2629,"3rdQuartile",39264
"1098",2630,"3rdQuartile",70000
"1099",2633,"4thQuartile",92000
"1100",2636,"3rdQuartile",40500
"1101",2637,"4thQuartile",48000
"1102",2642,"4thQuartile",68000
"1103",2646,"3rdQuartile",90000
"1104",2647,"2ndQuartile",220904
"1105",2649,"4thQuartile",37000
"1106",2650,"3rdQuartile",15000
"1107",2651,"2ndQuartile",3983
"1108",2652,"2ndQuartile",31658
"1109",2653,"1stQuartile",20000
"1110",2654,"1stQuartile",20000
"1111",2655,"1stQuartile",5300
"1112",2658,"1stQuartile",8000
"1113",2659,"1stQuartile",2000
"1114",2661,"1stQuartile",18674
"1115",2665,"1stQuartile",24000
"1116",2666,"1stQuartile",13700
"1117",2669,"1stQuartile",5000
"1118",2670,"1stQuartile",23500
"1119",2672,"1stQuartile",11000
"1120",2675,"1stQuartile",17000
"1121",2676,"1stQuartile",27000
"1122",2677,"1stQuartile",22000
"1123",2679,"2ndQuartile",3890
"1124",2682,"1stQuartile",12000
"1125",2683,"1stQuartile",30000
"1126",2684,"4thQuartile",40000
"1127",2685,"4thQuartile",58000
"1128",2688,"3rdQuartile",32000
"1129",2689,"2ndQuartile",30000
"1130",2690,"2ndQuartile",28000
"1131",2694,"3rdQuartile",25000
"1132",2695,"3rdQuartile",80000
"1133",2696,"2ndQuartile",46000
"1134",2698,"1stQuartile",6000
"1135",2699,"1stQuartile",8000
"1136",2701,"1stQuartile",88000
"1137",2702,"3rdQuartile",91500
"1138",2703,"2ndQuartile",125000
"1139",2705,"1stQuartile",14000
"1140",2706,"1stQuartile",36500
"1141",2707,"1stQuartile",24000
"1142",2708,"1stQuartile",25000
"1143",2709,"2ndQuartile",16257
"1144",2710,"1stQuartile",26000
"1145",2711,"1stQuartile",30620
"1146",2714,"4thQuartile",45000
"1147",2716,"1stQuartile",35000
"1148",2723,"2ndQuartile",62000
"1149",2724,"4thQuartile",167252
"1150",2725,"4thQuartile",26000
"1151",2727,"3rdQuartile",30500
"1152",2728,"3rdQuartile",50000
"1153",2729,"2ndQuartile",7000
"1154",2730,"1stQuartile",10000
"1155",2732,"2ndQuartile",33955
"1156",2736,"3rdQuartile",27000
"1157",2744,"2ndQuartile",4000
"1158",2745,"2ndQuartile",28000
"1159",2746,"1stQuartile",30000
"1160",2747,"1stQuartile",9984
"1161",2748,"1stQuartile",25000
"1162",2760,"2ndQuartile",26000
"1163",2765,"2ndQuartile",72000
"1164",2767,"1stQuartile",33000
"1165",2770,"3rdQuartile",57000
"1166",2771,"1stQuartile",10000
"1167",2772,"1stQuartile",21000
"1168",2773,"2ndQuartile",34000
"1169",2774,"3rdQuartile",60000
"1170",2775,"3rdQuartile",19500
"1171",2780,"1stQuartile",32000
"1172",2781,"2ndQuartile",18000
"1173",2797,"1stQuartile",50000
"1174",2800,"4thQuartile",35000
"1175",2803,"1stQuartile",58000
"1176",2804,"2ndQuartile",52000
"1177",2809,"4thQuartile",15000
"1178",2810,"2ndQuartile",8000
"1179",2811,"1stQuartile",25000
"1180",2813,"4thQuartile",75000
"1181",2815,"2ndQuartile",35000
"1182",2816,"1stQuartile",82000
"1183",2823,"3rdQuartile",50000
"1184",2829,"1stQuartile",32000
"1185",2830,"3rdQuartile",19000
"1186",2832,"2ndQuartile",48000
"1187",2838,"4thQuartile",69500
"1188",2839,"3rdQuartile",71000
"1189",2840,"4thQuartile",88000
"1190",2841,"4thQuartile",50000
"1191",2842,"4thQuartile",94000
"1192",2845,"4thQuartile",70000
"1193",2847,"4thQuartile",48000
"1194",2848,"4thQuartile",19285
"1195",2851,"4thQuartile",357310
"1196",2852,"2ndQuartile",33000
"1197",2856,"3rdQuartile",16000
"1198",2858,"4thQuartile",56000
"1199",2861,"4thQuartile",124000
"1200",2863,"2ndQuartile",40000
"1201",2864,"2ndQuartile",22000
"1202",2866,"3rdQuartile",120000
"1203",2867,"1stQuartile",10000
"1204",2868,"2ndQuartile",74000
"1205",2870,"3rdQuartile",126000
"1206",2871,"3rdQuartile",80000
"1207",2877,"4thQuartile",45000
"1208",2894,"4thQuartile",166924
"1209",2895,"4thQuartile",194031
"1210",2896,"4thQuartile",162733
"1211",2899,"3rdQuartile",30000
"1212",2900,"4thQuartile",500
"1213",2902,"4thQuartile",33000
"1214",2906,"4thQuartile",85000
"1215",2910,"4thQuartile",35000
"1216",2911,"1stQuartile",2000
"1217",2912,"2ndQuartile",15000
"1218",2913,"1stQuartile",42000
"1219",2920,"2ndQuartile",75000
"1220",2921,"2ndQuartile",60000
"1221",2928,"4thQuartile",10088
"1222",2929,"4thQuartile",46000
"1223",2930,"3rdQuartile",32000
"1224",2936,"3rdQuartile",40000
"1225",2939,"4thQuartile",65000
"1226",2941,"4thQuartile",180621
"1227",2942,"1stQuartile",10372
"1228",2944,"3rdQuartile",32000
"1229",2946,"4thQuartile",62000
"1230",2948,"4thQuartile",12500
"1231",2949,"2ndQuartile",20000
"1232",2950,"4thQuartile",93000
"1233",2952,"2ndQuartile",35000
"1234",2953,"2ndQuartile",85000
"1235",2957,"4thQuartile",35000
"1236",2959,"3rdQuartile",110000
"1237",2961,"3rdQuartile",68000
"1238",2962,"3rdQuartile",140000
"1239",2971,"1stQuartile",2100
"1240",2974,"1stQuartile",89000
"1241",2975,"4thQuartile",42000
"1242",2976,"3rdQuartile",53000
"1243",2977,"2ndQuartile",40000
"1244",2978,"2ndQuartile",9000
"1245",2980,"4thQuartile",170
"1246",2981,"2ndQuartile",18300
"1247",2984,"4thQuartile",359118
"1248",2985,"4thQuartile",100000
"1249",2988,"3rdQuartile",100000
"1250",2990,"3rdQuartile",5000
"1251",2991,"3rdQuartile",45000
"1252",2994,"3rdQuartile",97200
"1253",2995,"1stQuartile",24000
"1254",2996,"3rdQuartile",60000
"1255",2997,"3rdQuartile",74000
"1256",2998,"3rdQuartile",42000
"1257",3016,"4thQuartile",85000
"1258",3019,"3rdQuartile",85000
"1259",3020,"2ndQuartile",10800
"1260",3023,"2ndQuartile",30000
"1261",3024,"1stQuartile",85000
"1262",3025,"4thQuartile",1500
"1263",3030,"1stQuartile",28500
"1264",3033,"3rdQuartile",150000
"1265",3035,"3rdQuartile",30000
"1266",3036,"4thQuartile",52000
"1267",3037,"3rdQuartile",72000
"1268",3039,"3rdQuartile",65000
"1269",3041,"4thQuartile",12000
"1270",3046,"1stQuartile",30000
"1271",3047,"2ndQuartile",7200
"1272",3050,"1stQuartile",60000
"1273",3051,"2ndQuartile",17000
"1274",3054,"1stQuartile",15000
"1275",3055,"1stQuartile",30000
"1276",3057,"1stQuartile",18000
"1277",3058,"2ndQuartile",77000
"1278",3062,"4thQuartile",282588
"1279",3065,"1stQuartile",25000
"1280",3077,"1stQuartile",70000
"1281",3079,"2ndQuartile",30000
"1282",3081,"3rdQuartile",37000
"1283",3082,"3rdQuartile",25000
"1284",3084,"4thQuartile",183223
"1285",3085,"4thQuartile",25000
"1286",3089,"4thQuartile",13000
"1287",3090,"3rdQuartile",31600
"1288",3091,"2ndQuartile",41000
"1289",3094,"1stQuartile",2200
"1290",3095,"2ndQuartile",18000
"1291",3100,"1stQuartile",50000
"1292",3107,"3rdQuartile",22000
"1293",3109,"4thQuartile",58000
"1294",3111,"4thQuartile",43000
"1295",3112,"2ndQuartile",105000
"1296",3113,"2ndQuartile",40000
"1297",3117,"3rdQuartile",87000
"1298",3118,"2ndQuartile",28000
"1299",3120,"2ndQuartile",1200
"1300",3127,"1stQuartile",22000
"1301",3134,"1stQuartile",6000
"1302",3137,"4thQuartile",120000
"1303",3138,"2ndQuartile",50000
"1304",3140,"2ndQuartile",73000
"1305",3141,"4thQuartile",80000
"1306",3142,"4thQuartile",106000
"1307",3143,"2ndQuartile",53000
"1308",3145,"4thQuartile",5000
"1309",3146,"3rdQuartile",62000
"1310",3150,"4thQuartile",138000
"1311",3151,"2ndQuartile",47000
"1312",3153,"4thQuartile",151083
"1313",3154,"4thQuartile",10000
"1314",3157,"2ndQuartile",60000
"1315",3159,"3rdQuartile",40000
"1316",3161,"2ndQuartile",30000
"1317",3163,"2ndQuartile",34000
"1318",3168,"4thQuartile",115000
"1319",3170,"4thQuartile",268323
"1320",3171,"4thQuartile",152840
"1321",3173,"4thQuartile",125000
"1322",3177,"1stQuartile",55000
"1323",3192,"2ndQuartile",28000
"1324",3194,"1stQuartile",40000
"1325",3195,"3rdQuartile",48000
"1326",3196,"3rdQuartile",72000
"1327",3197,"2ndQuartile",31500
"1328",3198,"3rdQuartile",53600
"1329",3199,"1stQuartile",29500
"1330",3201,"4thQuartile",32000
"1331",3205,"4thQuartile",90000
"1332",3208,"4thQuartile",135000
"1333",3215,"3rdQuartile",40000
"1334",3218,"2ndQuartile",6000
"1335",3219,"3rdQuartile",72000
"1336",3221,"4thQuartile",67000
"1337",3224,"3rdQuartile",130000
"1338",3225,"4thQuartile",6700
"1339",3230,"1stQuartile",80000
"1340",3231,"3rdQuartile",41600
"1341",3232,"2ndQuartile",27000
"1342",3234,"3rdQuartile",30000
"1343",3235,"3rdQuartile",26000
"1344",3236,"3rdQuartile",3000
"1345",3237,"2ndQuartile",42000
"1346",3238,"4thQuartile",28000
"1347",3239,"3rdQuartile",30000
"1348",3240,"4thQuartile",46000
"1349",3242,"2ndQuartile",9000
"1350",3243,"3rdQuartile",50000
"1351",3244,"4thQuartile",24000
"1352",3246,"2ndQuartile",49400
"1353",3249,"2ndQuartile",25000
"1354",3250,"4thQuartile",12000
"1355",3252,"1stQuartile",29000
"1356",3254,"3rdQuartile",26800
"1357",3256,"4thQuartile",80000
"1358",3257,"4thQuartile",75000
"1359",3263,"4thQuartile",89000
"1360",3266,"2ndQuartile",250
"1361",3267,"4thQuartile",23000
"1362",3269,"2ndQuartile",17000
"1363",3273,"1stQuartile",24000
"1364",3277,"4thQuartile",60000
"1365",3278,"3rdQuartile",147
"1366",3281,"2ndQuartile",37000
"1367",3282,"2ndQuartile",52000
"1368",3284,"2ndQuartile",113000
"1369",3285,"1stQuartile",30000
"1370",3287,"2ndQuartile",1800
"1371",3289,"4thQuartile",140000
"1372",3290,"4thQuartile",150000
"1373",3303,"4thQuartile",18000
"1374",3307,"1stQuartile",20000
"1375",3308,"1stQuartile",20000
"1376",3309,"4thQuartile",54000
"1377",3310,"1stQuartile",32000
"1378",3311,"1stQuartile",25000
"1379",3312,"1stQuartile",24000
"1380",3319,"1stQuartile",6000
"1381",3321,"1stQuartile",21000
"1382",3324,"1stQuartile",96000
"1383",3325,"1stQuartile",300
"1384",3329,"3rdQuartile",45000
"1385",3330,"1stQuartile",145000
"1386",3331,"1stQuartile",32000
"1387",3337,"4thQuartile",89000
"1388",3338,"4thQuartile",2000
"1389",3341,"2ndQuartile",39000
"1390",3343,"1stQuartile",19968
"1391",3346,"1stQuartile",58000
"1392",3347,"2ndQuartile",40000
"1393",3350,"3rdQuartile",10000
"1394",3352,"3rdQuartile",1200
"1395",3353,"1stQuartile",44000
"1396",3354,"2ndQuartile",10000
"1397",3355,"3rdQuartile",50000
"1398",3356,"2ndQuartile",2000
"1399",3357,"3rdQuartile",150490
"1400",3359,"3rdQuartile",45000
"1401",3360,"3rdQuartile",32000
"1402",3361,"3rdQuartile",703637
"1403",3374,"2ndQuartile",68000
"1404",3375,"2ndQuartile",50000
"1405",3376,"3rdQuartile",73000
"1406",3378,"3rdQuartile",8220
"1407",3379,"4thQuartile",99000
"1408",3380,"4thQuartile",900
"1409",3381,"4thQuartile",125000
"1410",3387,"3rdQuartile",45000
"1411",3389,"3rdQuartile",60000
"1412",3390,"4thQuartile",80000
"1413",3391,"4thQuartile",30824
"1414",3392,"2ndQuartile",45000
"1415",3393,"1stQuartile",25000
"1416",3394,"3rdQuartile",85000
"1417",3397,"2ndQuartile",13000
"1418",3401,"2ndQuartile",32000
"1419",3403,"2ndQuartile",120000
"1420",3405,"4thQuartile",43500
"1421",3406,"4thQuartile",38500
"1422",3410,"3rdQuartile",65000
"1423",3413,"3rdQuartile",36000
"1424",3417,"2ndQuartile",8000
"1425",3418,"2ndQuartile",46000
"1426",3420,"3rdQuartile",72000
"1427",3421,"3rdQuartile",105000
"1428",3422,"3rdQuartile",2000
"1429",3423,"4thQuartile",27000
"1430",3424,"4thQuartile",33000
"1431",3425,"4thQuartile",77000
"1432",3429,"4thQuartile",200
"1433",3431,"4thQuartile",171428
"1434",3432,"4thQuartile",24626
"1435",3433,"3rdQuartile",4000
"1436",3436,"1stQuartile",8000
"1437",3438,"1stQuartile",14000
"1438",3440,"1stQuartile",61000
"1439",3444,"1stQuartile",19200
"1440",3452,"2ndQuartile",20000
"1441",3455,"3rdQuartile",61200
"1442",3456,"2ndQuartile",10000
"1443",3457,"1stQuartile",26000
"1444",3458,"1stQuartile",28000
"1445",3463,"3rdQuartile",57000
"1446",3464,"4thQuartile",96000
"1447",3465,"4thQuartile",35000
"1448",3466,"4thQuartile",60000
"1449",3467,"2ndQuartile",17000
"1450",3468,"4thQuartile",72000
"1451",3471,"1stQuartile",40000
"1452",3475,"1stQuartile",26000
"1453",3477,"3rdQuartile",18520
"1454",3479,"2ndQuartile",80000
"1455",3481,"3rdQuartile",47000
"1456",3482,"1stQuartile",65000
"1457",3487,"2ndQuartile",39000
"1458",3491,"1stQuartile",13000
"1459",3492,"3rdQuartile",47000
"1460",3493,"2ndQuartile",40000
"1461",3494,"2ndQuartile",87000
"1462",3495,"2ndQuartile",80000
"1463",3496,"3rdQuartile",24600
"1464",3497,"4thQuartile",77000
"1465",3502,"2ndQuartile",41000
"1466",3503,"3rdQuartile",88000
"1467",3505,"2ndQuartile",67000
"1468",3506,"4thQuartile",18000
"1469",3508,"1stQuartile",18000
"1470",3511,"4thQuartile",16000
"1471",3513,"1stQuartile",27000
"1472",3514,"3rdQuartile",24000
"1473",3515,"4thQuartile",97000
"1474",3521,"2ndQuartile",44000
"1475",3522,"1stQuartile",500
"1476",3524,"1stQuartile",52000
"1477",3527,"3rdQuartile",3800
"1478",3530,"4thQuartile",62000
"1479",3531,"3rdQuartile",11000
"1480",3533,"4thQuartile",135000
"1481",3535,"4thQuartile",82376
"1482",3537,"2ndQuartile",26000
"1483",3538,"3rdQuartile",33900
"1484",3540,"2ndQuartile",37000
"1485",3543,"1stQuartile",18000
"1486",3544,"1stQuartile",3200
"1487",3545,"2ndQuartile",31000
"1488",3546,"2ndQuartile",65000
"1489",3547,"2ndQuartile",35000
"1490",3548,"1stQuartile",40000
"1491",3549,"1stQuartile",1500
"1492",3550,"3rdQuartile",25000
"1493",3551,"4thQuartile",65000
"1494",3552,"4thQuartile",38000
"1495",3553,"4thQuartile",55000
"1496",3554,"3rdQuartile",38000
"1497",3558,"3rdQuartile",96000
"1498",3559,"4thQuartile",60000
"1499",3561,"1stQuartile",42000
"1500",3562,"1stQuartile",5000
"1501",3563,"1stQuartile",34000
"1502",3565,"4thQuartile",36000
"1503",3567,"3rdQuartile",2760
"1504",3569,"1stQuartile",42000
"1505",3570,"1stQuartile",56000
"1506",3572,"1stQuartile",14000
"1507",3574,"4thQuartile",47000
"1508",3575,"1stQuartile",56000
"1509",3579,"2ndQuartile",45000
"1510",3580,"3rdQuartile",36000
"1511",3581,"2ndQuartile",129000
"1512",3582,"3rdQuartile",150000
"1513",3583,"4thQuartile",100000
"1514",3584,"1stQuartile",16000
"1515",3585,"4thQuartile",159168
"1516",3587,"3rdQuartile",43000
"1517",3588,"3rdQuartile",60000
"1518",3589,"2ndQuartile",50987
"1519",3591,"3rdQuartile",4471
"1520",3592,"3rdQuartile",56000
"1521",3597,"2ndQuartile",7000
"1522",3600,"3rdQuartile",60000
"1523",3601,"4thQuartile",40000
"1524",3606,"3rdQuartile",35000
"1525",3607,"2ndQuartile",16000
"1526",3608,"4thQuartile",69000
"1527",3609,"2ndQuartile",39000
"1528",3610,"1stQuartile",7900
"1529",3611,"2ndQuartile",15000
"1530",3614,"4thQuartile",10180
"1531",3616,"4thQuartile",35000
"1532",3617,"3rdQuartile",89000
"1533",3619,"4thQuartile",32500
"1534",3620,"2ndQuartile",32000
"1535",3623,"4thQuartile",35000
"1536",3625,"4thQuartile",26000
"1537",3628,"2ndQuartile",189210
"1538",3640,"1stQuartile",21000
"1539",3641,"2ndQuartile",51000
"1540",3643,"2ndQuartile",38000
"1541",3649,"1stQuartile",29400
"1542",3650,"2ndQuartile",32000
"1543",3651,"2ndQuartile",65000
"1544",3657,"1stQuartile",38000
"1545",3660,"1stQuartile",23400
"1546",3661,"2ndQuartile",4500
"1547",3664,"3rdQuartile",68000
"1548",3666,"4thQuartile",36000
"1549",3667,"3rdQuartile",6360
"1550",3669,"4thQuartile",10000
"1551",3676,"4thQuartile",74000
"1552",3677,"4thQuartile",60000
"1553",3679,"3rdQuartile",85000
"1554",3686,"3rdQuartile",69000
"1555",3690,"4thQuartile",138000
"1556",3693,"2ndQuartile",30000
"1557",3694,"2ndQuartile",56000
"1558",3697,"1stQuartile",5000
"1559",3699,"1stQuartile",20477
"1560",3705,"3rdQuartile",45000
"1561",3706,"2ndQuartile",42000
"1562",3708,"4thQuartile",144000
"1563",3709,"3rdQuartile",30000
"1564",3714,"3rdQuartile",25000
"1565",3718,"2ndQuartile",28013
"1566",3719,"1stQuartile",29000
"1567",3721,"4thQuartile",52000
"1568",3722,"2ndQuartile",55000
"1569",3723,"2ndQuartile",16000
"1570",3725,"2ndQuartile",23000
"1571",3730,"4thQuartile",25275
"1572",3732,"4thQuartile",36000
"1573",3734,"4thQuartile",30000
"1574",3735,"3rdQuartile",60000
"1575",3736,"3rdQuartile",49000
"1576",3737,"2ndQuartile",58000
"1577",3738,"2ndQuartile",18000
"1578",3739,"3rdQuartile",16000
"1579",3740,"1stQuartile",20000
"1580",3741,"1stQuartile",9300
"1581",3742,"2ndQuartile",98000
"1582",3745,"4thQuartile",32089
"1583",3746,"1stQuartile",16390
"1584",3751,"3rdQuartile",45000
"1585",3754,"4thQuartile",33000
"1586",3757,"4thQuartile",95000
"1587",3758,"4thQuartile",11000
